,RAZON SOCIAL,POTENCIAL UNO,NOMBRE COMERCIAL,RUC,CONSIGNATARIO,POSICION ARANCELARIA,CODIGO COMPLEMENTARIO,CODIGO SUPLEMENTARIO,DESCRIPCION POSICION,DESCRIPCION DEL DESPACHO,MARCA,MODELO,REFRENDO,ITEM,DAU,FECHA DESPACHO,FECHA EMBARQUE,FECHA LLEGADA,FECHA LIQUIDACION,FECHA PAGO,FECHA SALIDA ALMACEN,REGIMEN,NUMERO MANIFIESTO,MANIFIESTO,CODIGO DOCUMENTO TRANSPORTE,DOCUMENTO TRANSPORTE,ADUANA,PAIS ORIGEN,PAIS PROCEDENCIA,PAIS EMBARQUE,PUERTO EMBARQUE,VIA TRANSPORTE,CONTENEDORES,DEPOSITO,FOB U$S,FLETE U$S,SEGURO U$S,CIF U$S,FACTURA,VALOR FACTURA U$S,BASE IMPONIBLE U$S,KGS NETO,KGS BRUTO,UNIDADES,TIPO UNIDAD,PRECIO UNITARIO U$S,CANTIDAD COMERCIAL,UNIDAD COMERCIAL,PRECIO UNITARIO COMERCIAL U$S,TIPO UNIDAD NOMENCLADOR,ADVAL,MONEDA,EMBARCADOR,INCOTERM,CODIGO LIBERACION,ESTADO MERCADERIA,CLASE MERCADERIA,PAIS DESTINO,TOTAL FOB U$S,TOTAL FLETE U$S,TOTAL SEGURO U$S,TOTAL CIF U$S,TOTAL KGS NETO,TOTAL KGS BRUTO,TOTAL BASE IMPONIBLE,TOTAL CANTIDAD BULTOS,TOTAL AJUSTES,TOTAL OTROS AJUSTES,CLASE,VERIFICADOR,AGENTE AFIANZADO,NAVE,AGENCIA TRANSPORTE,EMPRESA TRANSPORTE,AFORADOR,FECHA AFORO,TIPO AFORO,ACTIVIDAD PRINCIPAL DEL IMPORTADOR,DIRECCION DEL IMPORTADOR,DIRECCION DEL CONSIGNATARIO,CONSOLIDADORA
475,DELCORP S.A.,,DELCORP S.A.,991265414001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA,SIN MARCA,,02820141000208201,3,1001557.0,2014-03-24,0000-00-00,0000-00-00,2014-03-24,2014-03-24,0000-00-00,IMPORTACION A CONSUMO,,,,,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,NO ESPECIFICADO,,NO ESPECIFICADO,0.0,,"360,590.00","55,000.00","1,314.29","416,904.28",,0.0,"416,904.28","1,000,000.00",0.00,"1,000,000.00",KILOGRAMO BRUTO,0.36,0.0,,0.0,"kg, Kilogramo",0.0,DOL,,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,,,,,,,,,,,,,01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.,,,,,2014-03-24,AFORO NO ESPECIFICADO,VENTA AL POR MAYOR DE FERTILIZANTES,V.E. ESTRADA 114 Y BALSAMOS,,
476,DELCORP S.A.,,DELCORP S.A.,991265414001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA,SIN MARCA,,02820141000208201,4,1001557.0,2014-03-24,0000-00-00,0000-00-00,2014-03-24,2014-03-24,0000-00-00,IMPORTACION A CONSUMO,,,,,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,NO ESPECIFICADO,,NO ESPECIFICADO,0.0,,"363,110.00","55,000.00","1,322.26","419,432.25",,0.0,"419,432.25","1,000,000.00",0.00,"1,000,000.00",KILOGRAMO BRUTO,0.36,0.0,,0.0,"kg, Kilogramo",0.0,DOL,,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,,,,,,,,,,,,,01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.,,,,,2014-03-24,AFORO NO ESPECIFICADO,VENTA AL POR MAYOR DE FERTILIZANTES,V.E. ESTRADA 114 Y BALSAMOS,,
477,IMPORTEN CIA LTDA,,,791753295001,0791753295001-IMPORTEN CIA. LTDA.,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA,,,08220141000206630,1,885.0,2014-03-24,2014-03-20,2014-03-21,2014-03-24,2014-03-24,2014-03-25,IMPORTACION A CONSUMO,EC-0374-14,CEC201430360225,CEC20143036022502250000,EC-225-14,HUAQUILLAS,NO ESPECIFICADO,PERU,PERU,,CARRETERA,0.0,05909263-EMPRESA DE BODEGAS BODPUYANGO CIA. LTDA.,"39,600.00","2,250.00",172.64,"42,022.64",,0.0,"42,022.64","90,000.00",0.00,"90,290.00",KILOGRAMO BRUTO,0.44,0.0,,0.0,"kg, Kilogramo",0.0,DOL,CERES PERU SOCIEDAD ANONIMA,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",OTROS,,ECUADOR,"39,600.00","2,250.00",172.64,"42,022.64","90,000.00",0.00,"42,022.64","1,800.00",0.0,0.0,,,01906284: NAVARRO RAMON ALBERTO DANILO,OAF0323,,04903036-CERAMICAS ARSILCO CIA. LTDA.,,2014-03-24,AFORO NO ESPECIFICADO,9993-OTROS,NAPOLEONMERA NRO 3208 Y SAN MARTIN,,
478,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,,,991441336001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA AL GRANEL,,,02820141000210834,1,86.0,2014-03-25,0000-00-00,0000-00-00,2014-03-25,2014-03-26,0000-00-00,IMPORTACION A CONSUMO,,,,,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,NO ESPECIFICADO,,NO ESPECIFICADO,0.0,,"217,187.50","34,375.00",805.00,"252,367.50",,0.0,"252,367.50","625,000.00",0.00,"625,000.00",KILOGRAMO BRUTO,0.35,0.0,,0.0,"kg, Kilogramo",0.0,DOL,,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,"878,125.00","137,500.00","3,250.00","1,018,875.00","2,500,000.00",0.00,"1,018,875.00",0.00,0.0,0.0,,,01903863: RIVERA BAJAÑA JORGE RIGOBERTO,,,,,2014-03-25,AFORO NO ESPECIFICADO,"0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
479,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,,,991441336001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA AL GRANEL,,,02820141000210834,2,86.0,2014-03-25,0000-00-00,0000-00-00,2014-03-25,2014-03-26,0000-00-00,IMPORTACION A CONSUMO,,,,,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,NO ESPECIFICADO,,NO ESPECIFICADO,0.0,,"218,750.00","34,375.00",810.00,"253,935.00",,0.0,"253,935.00","625,000.00",0.00,"625,000.00",KILOGRAMO BRUTO,0.35,0.0,,0.0,"kg, Kilogramo",0.0,DOL,,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,,,,,,,,,,,,,01903863: RIVERA BAJAÑA JORGE RIGOBERTO,,,,,2014-03-25,AFORO NO ESPECIFICADO,"0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
480,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,,,991441336001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA AL GRANEL,,,02820141000210834,3,86.0,2014-03-25,0000-00-00,0000-00-00,2014-03-25,2014-03-26,0000-00-00,IMPORTACION A CONSUMO,,,,,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,NO ESPECIFICADO,,NO ESPECIFICADO,0.0,,"220,312.50","34,375.00",815.00,"255,502.50",,0.0,"255,502.50","625,000.00",0.00,"625,000.00",KILOGRAMO BRUTO,0.35,0.0,,0.0,"kg, Kilogramo",0.0,DOL,,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,,,,,,,,,,,,,01903863: RIVERA BAJAÑA JORGE RIGOBERTO,,,,,2014-03-25,AFORO NO ESPECIFICADO,"0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
481,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,,,991441336001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA AL GRANEL,,,02820141000210834,4,86.0,2014-03-25,0000-00-00,0000-00-00,2014-03-25,2014-03-26,0000-00-00,IMPORTACION A CONSUMO,,,,,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,NO ESPECIFICADO,,NO ESPECIFICADO,0.0,,"221,875.00","34,375.00",820.00,"257,070.00",,0.0,"257,070.00","625,000.00",0.00,"625,000.00",KILOGRAMO BRUTO,0.36,0.0,,0.0,"kg, Kilogramo",0.0,DOL,,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,,,,,,,,,,,,,01903863: RIVERA BAJAÑA JORGE RIGOBERTO,,,,,2014-03-25,AFORO NO ESPECIFICADO,"0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
482,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,,,991098127001,0991098127001-To the order of THE ECONOMY BANK N.V.,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA GRANULADA,,,02820141000213860,1,3448.0,2014-03-26,2014-02-20,2014-03-28,2014-03-26,2014-03-27,0000-00-00,IMPORTACION A CONSUMO,99999999999,CEC2014MAEU0075,CEC2014MAEU007500910000,867206778,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,RUNVS-NOVOROSSIYSK,MARITIMO,11.0,05909025-CONTECON GUAYAQUIL S.A.,"128,152.59","9,655.06",204.67,"138,012.31",,0.0,"138,012.31","300,750.00",0.00,"302,073.31",KILOGRAMO BRUTO,0.42,0.0,,0.0,"kg, Kilogramo",0.0,DOL,"OJSC AZOT, 301660, TULA REG., NOVOMOSKOVSK, UL. SVYAZI 10, RUSSIAN",,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,"128,152.59","9,655.06",204.67,"138,012.31","300,750.00",0.00,"138,012.31",401.00,0.0,0.0,,,01900009: CORNEJO & IGLESIAS ASOCIADOS S.A.,MAERSK BINTAN,07908110-MAERSK DEL ECUADOR C.A.,02907986-MAERSK DEL ECUADOR C.A.,,2014-03-26,AFORO NO ESPECIFICADO,9309-OTRAS ACTIVIDADES DE SERVICIO N.C.P.,"KM 5.5 SOLAR 2 Y VIA DURAN BABAHOYO, GUAYAQUIL",,
483,SOLVESA ECUADOR S.A,,,990839557001,0990839557001-SOLVESA ECUADOR SA,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA PRILADA,,,02820141000214744,1,1190.0,2014-03-26,2014-02-15,2014-03-25,2014-03-26,2014-03-27,0000-00-00,IMPORTACION A CONSUMO,99999999999,CEC2014MSCU0043,CEC2014MSCU004390130000,PTLA0GY00,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,RULED-ST PETERSBURG (EX LENINGRAD),MARITIMO,28.0,05909025-CONTECON GUAYAQUIL S.A.,"307,800.00","48,600.00",463.32,"356,863.31",,0.0,"356,863.31","810,000.00",0.00,"810,000.00",KILOGRAMO BRUTO,0.38,0.0,,0.0,"kg, Kilogramo",0.0,DOL,PHOSAGRO ASIA PTE LTD,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,"418,000.00","66,000.00",629.20,"484,629.19","1,100,000.00",0.00,"484,629.19",810.00,0.0,0.0,,,01908462: TORRES TORRES SEGUNDO ARISTOBAL,MSC TAMARA,07908291-TRANSOCEANICA COMPAÑIA LIMITADA,02907166-TRANSOCEANICA COMPAÑIA LIMITADA,,2014-03-28,AFORO NO ESPECIFICADO,5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS,"CASUARINA 100 Y VIA A DAULE, GUAYAQUIL",,
484,SOLVESA ECUADOR S.A,,,990839557001,0990839557001-SOLVESA ECUADOR SA,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA PRILADA,,,02820141000214744,2,1190.0,2014-03-26,2014-02-15,2014-03-25,2014-03-26,2014-03-27,0000-00-00,IMPORTACION A CONSUMO,99999999999,CEC2014MSCU0043,CEC2014MSCU004390130000,PTLA0GY00,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,RULED-ST PETERSBURG (EX LENINGRAD),MARITIMO,28.0,05909025-CONTECON GUAYAQUIL S.A.,"110,200.00","17,400.00",165.88,"127,765.88",,0.0,"127,765.88","290,000.00",0.00,"290,000.00",KILOGRAMO BRUTO,0.38,0.0,,0.0,"kg, Kilogramo",0.0,DOL,PHOSAGRO ASIA PTE LTD,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,,,,,,,,,,,,,01908462: TORRES TORRES SEGUNDO ARISTOBAL,MSC TAMARA,07908291-TRANSOCEANICA COMPAÑIA LIMITADA,02907166-TRANSOCEANICA COMPAÑIA LIMITADA,,2014-03-28,AFORO NO ESPECIFICADO,5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS,"CASUARINA 100 Y VIA A DAULE, GUAYAQUIL",,
485,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,,,991441336001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA,,,02820141000221550,1,90.0,2014-03-28,0000-00-00,0000-00-00,2014-03-28,2014-03-28,0000-00-00,IMPORTACION A CONSUMO,,,,,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,NO ESPECIFICADO,,NO ESPECIFICADO,0.0,,"214,660.00","16,530.00",739.81,"231,929.81",,0.0,"231,929.81","550,000.00",0.00,"551,384.00",KILOGRAMO BRUTO,0.39,0.0,,0.0,"kg, Kilogramo",0.0,DOL,PHOSAGRO ASIA PTE LTD,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,"214,660.00","16,530.00",739.81,"231,929.81","550,000.00",0.00,"231,929.81",0.00,0.0,0.0,,,01903863: RIVERA BAJAÑA JORGE RIGOBERTO,,,,,2014-03-28,AFORO NO ESPECIFICADO,"0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
486,FERMAGRI S.A.,,,1791401344001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA -,SIN MARCA,,02820141000227071,1,254.0,2014-03-31,0000-00-00,2014-03-28,0000-00-00,0000-00-00,0000-00-00,IMPORTACION A CONSUMO,,CEC2014CNIU5248,BL-CNTAO-006259307-4,,GUAYAQUIL MARITIMO,CHINA,COREA DEL NORTE,"KOREA, REPUBLIC OF KOREA (SOUTH)",BUSAN (EX PUSAN),MARITIMO,5.0,NAPORTEC S.A.,"42,000.00",0.00,225.00,"42,225.00",,0.0,0.00,0.00,0.00,"105,000.00",KILOGRAMO BRUTO,0.4,0.0,,0.0,"kg, Kilogramo",0.0,DOL,"SHANDONG GOLD MONA INTERNATIONAL TRADING CO., LIMITED",,,NUEVO,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,100.00",0.0,0.0,,,00000000: NO ESPECIFICADO,DOVER STRAIT,ALBARRACIN BOSCH RAMON GONZALO,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,,0000-00-00,NO DETERMINADO,5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS,KM. 16 VIA A DAULE CALLE ROSAVIN Y ASBESTOS,,
487,FERMAGRI S.A.,,,1791401344001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA -,SIN MARCA,,02820141000227091,1,255.0,2014-03-31,0000-00-00,2014-03-28,0000-00-00,0000-00-00,0000-00-00,IMPORTACION A CONSUMO,,CEC2014CNIU5248,BL-CNTAO-006259293-3,,GUAYAQUIL MARITIMO,CHINA,COREA DEL NORTE,"KOREA, REPUBLIC OF KOREA (SOUTH)",BUSAN (EX PUSAN),MARITIMO,5.0,NAPORTEC S.A.,"40,470.00",0.00,215.88,"40,685.88",,0.0,0.00,0.00,0.00,"105,000.00",KILOGRAMO BRUTO,0.39,0.0,,0.0,"kg, Kilogramo",0.0,DOL,"SHANDONG GOLD MONA INTERNATIONAL TRADING CO., LIMITED",,,NUEVO,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,100.00",0.0,0.0,,,00000000: NO ESPECIFICADO,DOVER STRAIT,ALBARRACIN BOSCH RAMON GONZALO,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,,0000-00-00,NO DETERMINADO,5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS,KM. 16 VIA A DAULE CALLE ROSAVIN Y ASBESTOS,,
488,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,,,1790252221001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA PERLADA -,,,02820141000229027,1,1497.0,2014-03-31,0000-00-00,2014-03-30,0000-00-00,0000-00-00,0000-00-00,IMPORTACION A CONSUMO,,CEC2014MAEU0077,867202249,,GUAYAQUIL MARITIMO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,ST PETERSBURG (EX LENINGRAD),MARITIMO,28.0,CONTECON GUAYAQUIL S.A.,"287,078.41",0.00,70.29,"287,148.69",,0.0,0.00,0.00,0.00,"32,300.00",KILOGRAMO BRUTO,8.89,0.0,,0.0,"kg, Kilogramo",0.0,DOL,Agronova Europe AG,,,NUEVO,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,896.00,0.0,0.0,,,00000000: NO ESPECIFICADO,MAERSK NOTTINGHAM,HEREDIA LOPEZ MARIO FERNANDO,MAERSK DEL ECUADOR C.A.,,0000-00-00,NO DETERMINADO,9309-OTRAS ACTIVIDADES DE SERVICIO N.C.P.,CALLE E8 S60-15 Y S60 PARQUE INDUSTRIAL SUR TURUBAMBA,,
489,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,,,1790252221001,,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA PERLADA,,,08220141000228746,1,958.0,2014-03-31,0000-00-00,0000-00-00,2014-03-31,2014-03-31,0000-00-00,IMPORTACION A CONSUMO,,,,,HUAQUILLAS,NO ESPECIFICADO,PERU,NO ESPECIFICADO,,NO ESPECIFICADO,0.0,,"29,030.00","3,850.00",3.60,"32,883.60",,0.0,"32,883.60","60,000.00",0.00,"60,006.00",KILOGRAMO BRUTO,0.48,0.0,,0.0,"kg, Kilogramo",0.0,DOL,CORPORACION MISTI S.A.,,,OTROS,,ECUADOR,"29,030.00","3,850.00",3.60,"32,883.60","60,000.00",0.00,"32,883.60",0.00,0.0,0.0,,,01906284: NAVARRO RAMON ALBERTO DANILO,,,,,2014-03-31,AFORO NO ESPECIFICADO,9309-OTRAS ACTIVIDADES DE SERVICIO N.C.P.,CALLE E8 S60-15 Y S60 PARQUE INDUSTRIAL SUR TURUBAMBA,,
490,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,,,991098127001,0991098127001-IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE SOCIEDAD ANONIMA INMONTE,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),"SULFATO DE POTASIO, ACIDO HUMICO",,,01920149100243867,1,,2014-04-05,2014-04-04,2014-04-05,2014-04-05,2014-04-07,2014-04-08,TRAFICO POSTAL INTERNACIONAL Y COURIER,100,CEC20145X025408,CEC20145X02540866450039,804590425585,GUAYAQUIL AEREO,NO ESPECIFICADO,UNITED STATES,UNITED STATES,MIA-MIAMI (MIA)-MIAMI INTERNATIONAL AIRPORT,AEREA,0.0,05908914-SERVICIO NACIONAL DE ADUANA DEL ECUADOR,4.00,2.40,0.06,6.46,,0.0,6.46,1.60,1.60,2.00,NUMERO DE UNIDADES,2.0,0.0,,0.0,"kg, Kilogramo",0.0,DOL,CHANGSHA MAY SHINE CHEMICAL CO LTD,,,NUEVO,,NO ESPECIFICADO,4.00,2.40,0.06,6.46,1.60,1.60,6.46,1.00,0.0,0.0,,,08901071: ENTREGAS ESPECIALES ESPENTREGAS S.A.,N307UP,,"03907058-UNITED PARCEL SERVICE, CO.",,0000-00-00,AFORO NO ESPECIFICADO,9309-OTRAS ACTIVIDADES DE SERVICIO N.C.P.,"KM 5.5 SOLAR 2 Y VIA DURAN BABAHOYO, GUAYAQUIL",,
491,FERMAGRI S.A.,,,1791401344001,1791401344001-FERMAGRI S.A.,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA,,,02820141000244817,1,290.0,2014-04-07,2014-03-04,2014-04-06,2014-04-07,2014-04-07,2014-04-08,IMPORTACION A CONSUMO,99999999999,CEC2014MAEU0089,CEC2014MAEU008902470000,867202190,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,RULED-ST PETERSBURG (EX LENINGRAD),MARITIMO,19.0,05909025-CONTECON GUAYAQUIL S.A.,"188,784.00","35,568.00",968.52,"225,320.52",,0.0,"225,320.52","547,200.00",0.00,"547,200.00",KILOGRAMO BRUTO,0.35,0.0,,0.0,"kg, Kilogramo",0.0,DOL,Agronova Europe AG,,"0640-IVA 0 SEMILLAS ,BULBOS,PLANTAS,ESQUEJES,RAICES VIVAS. CUANDO CONCURRAN LAS CIRCUNSTANCIAS LEGALES DEL ART. 55 LRTI #4",NUEVO,,ECUADOR,"188,784.00","35,568.00",968.52,"225,320.52","547,200.00",0.00,"225,320.52",608.00,0.0,0.0,,,01900118: ALBARRACIN BOSCH RAMON GONZALO,MAERSK NIAMEY,07908110-MAERSK DEL ECUADOR C.A.,02907986-MAERSK DEL ECUADOR C.A.,,2014-04-07,AFORO NO ESPECIFICADO,5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS,KM. 16 VIA A DAULE CALLE ROSAVIN Y ASBESTOS,,
492,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,,,1790252221001,1790252221001-INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A.,3102.10.10.00,0,0,Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante),UREA PERLADA,,,02820141000246569,1,1612.0,2014-04-07,2014-03-12,2014-04-06,2014-04-07,2014-04-08,2014-04-15,IMPORTACION A CONSUMO,99999999999,CEC2014MAEU0089,CEC2014MAEU008902640000,867206096,GUAYAQUIL MARITIMO,NO ESPECIFICADO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,RULED-ST PETERSBURG (EX LENINGRAD),MARITIMO,52.0,05909025-CONTECON GUAYAQUIL S.A.,"606,528.00","104,832.00",75.00,"711,435.00",,0.0,"711,435.00","33,200.00",0.00,"33,200.00",KILOGRAMO BRUTO,18.27,0.0,,0.0,"kg, Kilogramo",0.0,DOL,Agronova Europe AG,,,NUEVO,,ECUADOR,"606,528.00","104,832.00",75.00,"711,435.00","33,200.00",0.00,"711,435.00","1,664.00",0.0,0.0,,,01902170: HEREDIA LOPEZ MARIO FERNANDO,MAERSK NIAMEY,07908110-MAERSK DEL ECUADOR C.A.,02907986-MAERSK DEL ECUADOR C.A.,,2014-04-07,AFORO NO ESPECIFICADO,9309-OTRAS ACTIVIDADES DE SERVICIO N.C.P.,CALLE E8 S60-15 Y S60 PARQUE INDUSTRIAL SUR TURUBAMBA,,
